Season,TeamName,Off_1,RankOff_1,Off_2,RankOff_2,Off_3,RankOff_3,Def_1,RankDef_1,Def_2,RankDef_2,Def_3,RankDef_3
2002,"Air Force",20.6231,183,40.4984,323,38.8785,7,26.3647,16,53.4262,140,20.2091,319
2002,Akron,25.2647,12,48.8932,250,25.8422,180,20.0985,195,53.1782,145,26.7234,160
2002,Alabama,23.3634,50,52.1445,172,24.4921,222,19.7943,211,52.9563,153,27.2494,137
2002,"Alabama A&M",20.569,184,50.7463,206,28.6847,109,22.4388,98,53.5732,132,23.988,255
2002,"Alabama St.",23.7462,40,50.1535,223,26.1003,173,18.323,268,59.6273,4,22.0497,298
2002,Albany,15.0659,326,54.2373,116,30.6968,70,20.9775,160,48.8742,267,30.1483,58
2002,"Alcorn St.",20.4099,192,58.3856,27,21.2045,279,20.2691,188,54.8611,79,24.8698,228
2002,American,20.3338,194,47.041,282,32.6252,44,20.0927,196,51.3138,207,28.5935,101
2002,"Appalachian St.",22.9145,65,53.1411,139,23.9444,239,20.3229,186,57.7398,13,21.9373,301
2002,Arizona,23.8095,38,48.4783,260,27.7121,129,16.8812,302,54.9584,77,28.1605,113
2002,"Arizona St.",20.6819,178,59.9372,14,19.3809,309,28.6181,2,48.8329,269,22.549,288
2002,Arkansas,17.8802,296,50.0461,227,32.0737,54,26.8501,11,46.1101,314,27.0398,148
2002,"Arkansas Little Rock",21.3455,141,49.0642,245,29.5903,90,20.9036,161,52.1502,182,26.9461,152
2002,"Arkansas Pine Bluff",21.6595,117,54.4181,110,23.9224,240,20.7738,166,56.0135,46,23.2128,272
2002,"Arkansas St.",18.4428,284,55.5718,84,25.9854,177,21.965,121,51.0288,215,27.0062,149
2002,Army,23.1893,53,54.2056,118,22.6051,260,23.3172,62,54.7119,83,21.9709,300
2002,Auburn,19.2916,244,54.0599,124,26.6485,160,21.8767,126,53.8338,112,24.2895,241
2002,"Austin Peay",20.8829,163,54.2659,114,24.8512,211,18.8778,250,50.8797,220,30.2425,55
2002,"Ball St.",20.7616,171,45.1849,306,34.0535,31,20.0636,197,57.2904,19,22.646,284
2002,Baylor,18.6902,273,45.6023,304,35.7075,17,16.3592,312,54.6602,88,28.9806,88
2002,Belmont,17.8218,297,42.9703,319,39.2079,5,17.3729,291,50.565,233,32.0621,27
2002,"Bethune Cookman",24.71,21,52.7484,149,22.5416,263,23.7383,49,54.1121,101,22.1495,295
2002,Binghamton,20.7068,176,47.1563,281,32.1369,50,19.4215,227,55.4752,61,25.1033,219
2002,"Birmingham Southern",20,213,45.5484,305,34.4516,27,25.6158,17,48.1527,284,26.2315,179
2002,"Boise St.",19.4892,238,54.1921,119,26.3187,167,28.1823,6,49.6595,250,22.1582,293
2002,"Boston College",22.9397,63,50.0425,228,27.0178,149,22.685,89,52.9907,152,24.3243,240
2002,"Boston University",20.8663,166,50.7685,205,28.3652,115,21.8368,128,45.0415,320,33.1216,11
2002,"Bowling Green",24.2681,28,51.4213,188,24.3106,227,28.0816,7,48.8415,268,23.0769,275
2002,Bradley,25.6396,8,51.5065,186,22.8539,257,24.5353,28,47.9023,288,27.5624,128
2002,Brown,23.8071,39,52.8378,146,23.3551,251,19.2746,236,52.7461,162,27.9793,116
2002,Bucknell,21.3289,143,52.373,165,26.2982,168,22.3579,104,53.1067,149,24.5353,234
2002,Buffalo,21.11,153,49.4549,242,29.4351,95,22.8558,80,51.8448,192,25.2995,213
2002,Butler,17.5478,305,45.1355,308,37.3167,10,20.7139,169,54.2996,96,24.9865,224
2002,BYU,25.0745,15,50.3476,219,24.578,219,22.5501,95,55.3214,66,22.1286,296
2002,"Cal Poly",18.7919,268,50.3356,220,30.8725,67,20.3525,184,55.9409,49,23.7067,264
2002,"Cal St. Fullerton",22.5827,75,48.7835,253,28.6338,110,22.1688,113,52.6709,165,25.1603,216
2002,"Cal St. Northridge",22.4309,86,52.3757,164,25.1934,199,29.1732,1,46.6561,309,24.1706,247
2002,California,19.6104,230,56.1039,68,24.2857,230,21.1737,155,47.6995,290,31.1268,38
2002,Campbell,20.2093,202,53.8546,128,25.9361,178,17.9241,278,54.9736,75,27.1024,143
2002,Canisius,19.2875,245,49.5674,240,31.145,64,24.4552,33,49.9758,244,25.569,201
2002,Centenary,21.4286,134,51.0746,196,27.4968,139,25.3538,19,53.4154,141,21.2308,312
