Team,Conf,W,AdjO,AdjD,AdjT,Luck,OppO,OppD,Year
Florida,SEC,26,118.4,83.4,62.5,-0.106,104.0,96.5,2013
Louisville,BE,29,114.6,81.0,67.2,-0.03,105.7,95.7,2013
Indiana,B10,27,123.2,89.0,67.8,-0.023,105.1,96.0,2013
Gonzaga,WCC,31,119.8,88.4,64.6,0.033,103.5,99.4,2013
Ohio St.,B10,26,114.7,86.5,64.3,0.019,105.4,95.2,2013
Duke,ACC,27,119.6,90.6,67.9,0.018,106.7,96.7,2013
Pittsburgh,BE,24,116.5,88.7,60.2,-0.059,103.5,98.7,2013
Kansas,B12,29,112.7,85.9,67.7,0.019,105.1,98.3,2013
Wisconsin,B10,23,108.8,83.6,62.0,-0.026,107.4,96.1,2013
Michigan St.,B10,25,112.8,87.3,64.4,0.006,107.3,94.9,2013
Michigan,B10,26,120.6,93.9,65.0,-0.011,105.6,96.3,2013
Georgetown,BE,25,108.0,84.4,61.9,0.048,105.3,97.1,2013
Syracuse,BE,26,114.2,89.8,64.5,-0.002,104.7,95.2,2013
Miami FL,ACC,27,113.3,89.7,63.3,0.028,106.5,97.2,2013
Creighton,MVC,27,118.3,94.8,65.0,-0.021,103.2,98.4,2013
St. Louis,A10,27,108.2,87.0,65.1,-0.005,102.6,99.0,2013
New Mexico,MWC,29,109.7,88.2,64.8,0.083,105.3,95.8,2013
Missouri,SEC,23,115.0,93.1,67.4,-0.026,103.5,97.6,2013
Arizona,P12,25,113.3,92.0,67.0,0.006,104.5,96.7,2013
Oklahoma St.,B12,24,108.4,88.1,67.7,-0.014,105.2,99.0,2013
Virginia Commonwealth,A10,26,113.3,92.2,68.4,-0.01,103.6,99.3,2013
St. Mary's,WCC,27,115.6,94.6,64.8,0.04,103.0,100.0,2013
Minnesota,B10,20,112.6,92.2,63.0,-0.035,107.3,95.5,2013
Colorado St.,MWC,25,117.8,96.5,65.0,-0.003,104.0,96.7,2013
Marquette,BE,23,113.4,93.3,64.9,0.066,104.2,94.6,2013
San Diego St.,MWC,22,106.7,88.2,66.8,-0.046,105.4,96.7,2013
North Carolina,ACC,24,112.3,93.0,70.6,0.039,105.3,96.5,2013
Kansas St.,B12,27,113.2,94.2,62.8,0.068,104.3,97.8,2013
Notre Dame,BE,25,115.3,95.9,61.6,0.045,103.4,96.1,2013
Wichita St.,MVC,26,109.1,91.3,64.6,-0.002,104.2,99.2,2013
Mississippi,SEC,26,111.8,93.6,70.8,0.002,101.9,98.5,2013
North Carolina St.,ACC,24,116.1,97.2,68.2,-0.02,105.0,97.3,2013
Nevada Las Vegas,MWC,25,105.3,88.3,68.8,-0.001,104.9,97.8,2013
Iowa St.,B12,22,116.9,98.2,69.3,-0.034,103.0,97.6,2013
Memphis,CUSA,30,107.8,90.7,69.7,0.02,102.5,101.6,2013
Cincinnati,BE,22,104.4,88.4,64.3,0.002,103.8,96.5,2013
Illinois,B10,22,109.7,93.2,66.0,0.05,107.0,95.3,2013
Oregon,P12,26,104.1,88.6,68.9,0.063,102.8,98.7,2013
UCLA,P12,25,110.4,94.3,69.3,0.062,104.3,96.0,2013
Villanova,BE,20,105.4,90.0,67.7,0.022,105.2,94.8,2013
Belmont,OVC,26,109.9,93.9,67.3,0.01,101.9,103.0,2013
Colorado,P12,21,105.8,90.8,65.0,0.04,105.7,96.4,2013
Oklahoma,B12,20,110.6,95.4,66.8,0.003,104.8,97.2,2013
Butler,A10,26,108.0,93.5,64.4,0.106,105.0,97.9,2013
