Year,Team,Conf,Round,Wins,Conf Tourney,Region,Seed,WinStreak,Last10,WinStreak_Avg,WinStreak_SD
2007,North Carolina,ACC,4,28,1,South,1,4,7,3.3823529411764706,3.2989722631570553
2007,Eastern Kentucky,OVC,1,21,1,South,16,4,8,1.6875,1.8445443204217133
2007,Marquette,Big East,1,24,0,South,8,0,5,2.6363636363636362,2.556254146540987
2007,Michigan State,Big Ten,2,22,0,South,9,0,5,1.878787878787879,1.9030689052251615
2007,Southern California,Pac-10,3,23,0,South,5,0,5,1.3823529411764706,1.328747882126649
2007,Arkansas,SEC,1,21,0,South,12,0,6,1.4705882352941178,1.5762071772910897
2007,Texas,Big 12,2,24,0,South,4,0,8,1.8181818181818181,1.6414063713879807
2007,New Mexico State,WAC,1,25,1,South,13,3,7,3.484848484848485,3.8068615254580584
2007,Vanderbilt,SEC,3,20,0,South,6,0,5,1.6129032258064515,1.860929690562059
2007,George Washington,A-10,1,23,1,South,11,8,8,2.2903225806451615,2.173054166851521
2007,Washington State,Pac-10,2,25,0,South,3,0,7,2.1875,1.87812240016459
2007,Oral Roberts,Mid-Cont,1,23,1,South,14,3,8,2.1515151515151514,2.4261356243937082
2007,Boston College,ACC,2,20,0,South,7,0,5,1.8064516129032258,1.924701147119522
2007,Texas Tech,Big 12,1,21,0,South,10,0,6,1.3636363636363635,1.3215734840822138
2007,Georgetown,Big East,5,26,1,South,2,4,9,3.4375,3.1017887984193897
2007,Belmont,A-Sun,1,23,1,South,15,7,9,1.9375,1.8529958850466992
2007,Kansas,Big 12,4,30,1,East,1,11,10,4.205882352941177,3.2519624099258797
2007,Niagara,MAAC,1,23,1,East,16,11,10,2.5454545454545454,3.1535541189691383
2007,Kentucky,SEC,2,21,0,East,8,0,4,2.5625,3.2009520068254695
2007,Villanova,Big East,1,22,0,East,9,0,7,1.59375,1.4547202265384227
2007,Virginia Tech,ACC,2,21,0,East,5,0,5,1.34375,1.3603624287299323
2007,Illinois,Big Ten,1,23,0,East,12,0,7,1.7941176470588236,1.8908356659347567
2007,Southern Illinois,MVC,3,27,0,East,4,0,9,3.8484848484848486,3.6937392741675756
2007,Holy Cross,Patriot,1,25,1,East,13,5,8,3.3636363636363638,3.4361551965001906
2007,Duke,ACC,1,22,0,East,6,0,4,2.5,2.5
2007,Virginia Commonwealth,CAA,2,27,1,East,11,5,8,3.1515151515151514,2.8082261425946897
2007,Pittsburgh,Big East,3,27,0,East,3,0,6,3.088235294117647,2.800920511071773
2007,Wright State,Horizon,1,23,1,East,14,2,9,2.1875,2.429473965697101
2007,Indiana,Big Ten,2,20,0,East,7,0,5,1.3333333333333333,1.349897115421106
2007,Gonzaga,WCC,1,23,1,East,10,5,7,1.7878787878787878,1.6469913020243867
2007,Ucla,Pac-10,5,26,0,East,2,0,7,4.387096774193548,4.085200823072019
2007,Weber State,Big Sky,1,20,1,East,15,2,8,1.1612903225806452,1.1099774538119518
2007,Florida,SEC,7,29,1,West,1,4,7,5.470588235294118,5.11764705882353
2007,Jackson State,SWAC,1,21,1,West,16,5,7,1.2941176470588236,1.3618631650341442
2007,Arizona,Pac-10,1,20,0,West,8,0,6,3.066666666666667,3.641733408999377
2007,Purdue,Big Ten,2,21,0,West,9,0,7,1.40625,1.5584322049739603
2007,Butler,Horizon,3,27,0,West,5,0,6,3.484848484848485,3.04632129984538
2007,Old Dominion,CAA,1,24,0,West,12,0,9,3.03125,3.4953931735213994
2007,Maryland,ACC,2,24,0,West,4,0,8,2.59375,2.4220262049573287
2007,Davidson,Southern,1,29,1,West,13,13,10,5.2727272727272725,4.11407581781264
2007,Notre Dame,Big East,1,24,0,West,6,0,7,3.4516129032258065,3.5180521523892
2007,Winthrop,Big South,2,28,1,West,11,18,10,5.96875,5.64294014122957
2007,Oregon,Pac-10,4,26,1,West,3,6,7,3.909090909090909,3.7446012561410478
2007,Miami Oh,MAC,1,18,1,West,14,3,7,1.0625,1.1709371246996996
2007,Nevada Las Vegas,MWC,3,28,1,West,7,7,9,3.1470588235294117,2.7560879451217946
2007,Georgia Tech,ACC,1,20,0,West,10,0,7,1.5483870967741935,1.5829476317916513
2007,Wisconsin,Big Ten,2,29,0,West,2,0,7,5.411764705882353,5.111219763818461
2007,Texas Am Corpus Christi,Southland,1,26,1,West,15,6,9,3.0,2.7271780286589284
2007,Ohio State,Big Ten,6,30,1,Midwest,1,17,10,5.757575757575758,5.003212925470405
2007,Central Connecticut State,NEC,1,22,1,Midwest,16,5,9,3.0,3.550501458394378
2007,Brigham Young,MWC,1,25,0,Midwest,8,0,8,2.5454545454545454,2.336676078625091
2007,Xavier,A-10,2,24,0,Midwest,9,0,9,2.375,2.407670035532278
2007,Tennessee,SEC,3,22,0,Midwest,5,0,7,2.28125,2.465187302721641
2007,Long Beach State,Big West,1,24,1,Midwest,12,6,9,2.806451612903226,2.5198483676693297
2007,Virginia,ACC,2,20,0,Midwest,4,0,6,1.7666666666666666,1.8740923729160794
2007,Albany Ny,AEC,1,23,1,Midwest,13,5,8,2.28125,2.225342319172491
2007,Louisville,Big East,2,23,0,Midwest,6,0,7,2.0,1.920286436967152
2007,Stanford,Pac-10,1,18,0,Midwest,11,0,4,1.1,1.1357816691600549
2007,Texas Am,Big 12,3,25,0,Midwest,3,0,7,3.064516129032258,2.5644654083034566
2007,Pennsylvania,Ivy,1,22,0,Midwest,14,10,10,2.7666666666666666,2.8481963103378645
2007,Nevada,WAC,2,28,0,Midwest,7,0,8,4.09375,2.951264294755724
2007,Creighton,MVC,1,22,1,Midwest,10,4,7,1.375,1.340475661845451
