Feature,Importance Mean
F4_Actual_6,0.0037457340859515563
Winner_Actual_6,0.0022300525890844207
Conf_SEC,0.0021844211038307528
Def_1,0.0015935869669931602
Conf_Horizon,0.0011885690579836767
Conf_ACC,0.0011700938998638346
Winner_Actual_12,0.0009348039151958129
Tempo,0.0009234039704494101
RankOff_1,0.0007854544518809986
AdjTempo,0.000759280943282492
RankTempo,0.0006853465131774941
RankAdjTempo,0.0006689566842206229
Region_West,0.0005563502205705201
RankDef_2,0.00043808140029814033
Region_East,0.0004183857255443249
Def_2,0.00041582478623619217
DE,0.0002911572981126223
Region_Midwest,0.0002528439533182311
Conf Tourney,0.0002484249124908397
Conf_CAA,0.00016605840927923915
Conf_Big East,0.0001578111654828629
Year,0.0001260136432839995
Conf_Southland,6.934598096194483e-05
Conf_NEC,5.748266437284738e-05
Conf_Big South,2.1788255033315662e-05
Conf_WAC,7.372046640885532e-06
Conf_Mid-Cont,0.0
Conf_Pac-10,0.0
First_Year,0.0
Off_1,-1.0622998760542734e-05
Conf_Ivy,-1.1320988831972633e-05
Conf_A-10,-2.7318244421055405e-05
Conf_Sun Belt,-2.9074534813787467e-05
Def_3,-2.9542801469345514e-05
Conf_CUSA,-3.4841694954868e-05
RankDef_1,-4.379277231204293e-05
Conf_OVC,-4.725059586291186e-05
Conf_AEC,-5.581668779073984e-05
Conf_Patriot,-5.74491986860326e-05
Winner_Actual_Full,-5.967564480407056e-05
E8_Actual_12,-7.145454972884435e-05
Conf_MEAC,-7.363946684106059e-05
Conf_Summit,-8.049923110246964e-05
Conf_WCC,-8.628532480293855e-05
Conf_Big Sky,-0.00010903036274360762
Region_South,-0.00012193533997705424
RankAdjDE,-0.000129921771717309
Conf_Big West,-0.0001450062772438032
Conf_Big Ten,-0.00014639636199656746
Conf_Southern,-0.00015433298005420177
Conf_MAAC,-0.00016155585530025496
Conf_MAC,-0.00016178740820561033
Conf_A-Sun,-0.0001662213398067283
OE,-0.00016704793217801745
Conf_SWAC,-0.00022770794923070576
Conf_MVC,-0.00023020331357043316
RankOff_2,-0.0002736543739534289
E8_Actual_6,-0.0002858520318514329
Off_3,-0.00030781561337244465
S16_Actual_Full,-0.0003100394693090605
Conf_Big 12,-0.0003897125252444927
Conf_AAC,-0.00041125446706503086
Conf_Pac-12,-0.0004336545313295151
Conf_MWC,-0.0005189633319308149
RankDef_3,-0.0005385414542590824
RankDE,-0.0005432520682892323
RankOff_3,-0.0005620115700215311
R32_Actual_12,-0.0009021398537715386
S16_Actual_12,-0.0009398274561130806
NCG_Actual_6,-0.0011037850430758596
AdjDE,-0.0011086766531851547
Off_2,-0.0011261915106205362
R32_Actual_6,-0.0013099475358664015
F4_Actual_Full,-0.0013126297505963336
RankOE,-0.0014240318723286848
E8_Actual_Full,-0.0014745436060088519
Wins,-0.0014845165062062154
R32_Actual_Full,-0.0017595870878960487
AdjOE,-0.0018003775909864253
NCG_Actual_Full,-0.0018411603020022454
NCG_Actual_12,-0.0018760150628983744
F4_Actual_12,-0.0021946042940788417
S16_Actual_6,-0.002297818404709641
RankAdjOE,-0.0028324172469020538
AdjEM,-0.002878816577934423
RankAdjEM,-0.00347266884786875
Seed,-0.0035097370189038288
