Feature,Importance Mean,Importance Std
Def_2,0.004687500000000011,0.0021057993598340707
RankDef_2,0.00424107142857143,0.0023304255600246643
Conf Tourney,0.003571428571428592,0.0014806360671229277
RankAdjTempo,0.003348214285714313,0.002867239414880601
AdjTempo,0.0033482142857143016,0.0026878559327661255
Def_3,0.0033482142857143016,0.0011160714285713969
RankTempo,0.0029017857142857317,0.0024553571428571263
Conf_Horizon,0.0029017857142857205,0.002650522787285236
NCG_Actual_12,0.002455357142857184,0.0006696428571428382
RankAdjEM,0.002455357142857162,0.0015624999999999905
NCG_Actual_Full,0.0020089285714286033,0.0012020457158782405
NCG_Actual_6,0.0017857142857143238,0.000892857142857162
RankDef_1,0.0017857142857143015,0.0016703827619526524
Year,0.0015625000000000333,0.0010228963604812361
Tempo,0.0015625000000000333,0.0010228963604812361
S16_Actual_6,0.0015625000000000222,0.0014292688029984117
Region_Midwest,0.001339285714285743,0.0017857142857142822
Def_1,0.001339285714285743,0.0038918740567327444
F4_Actual_6,0.001339285714285743,0.0010935222065996564
Off_1,0.0011160714285714524,0.0011160714285714521
DE,0.0011160714285714413,0.0020579340306457234
Off_2,0.0008928571428571619,0.0010935222065996564
Conf_Big East,0.0008928571428571619,0.0010935222065996564
Conf_ACC,0.0008928571428571619,0.0022763479971396193
RankDef_3,0.00044642857142860313,0.0016703827619526524
R32_Actual_Full,0.00022321428571431268,0.0015624999999999984
Conf_Pac-12,0.00022321428571430156,0.0012020457158782405
R32_Actual_12,0.00022321428571429048,0.0006696428571428714
Winner_Actual_Full,0.00022321428571429048,0.0006696428571428714
Region_West,1.1102230246251566e-17,0.001729010422414005
Conf_OVC,0.0,0.0
Conf_MAAC,0.0,0.0
Conf_A-Sun,0.0,0.0
Split,0.0,0.0
Conf_MEAC,0.0,0.0
Conf_AEC,0.0,0.0
Conf_Ivy,0.0,0.0
Conf_Big Sky,0.0,0.0
Conf_MWC,0.0,0.0
Conf_Big South,0.0,0.0
Conf_Mid-Cont,0.0,0.0
Conf_NEC,0.0,0.0
Conf_Patriot,0.0,0.0
Conf_Pac-10,0.0,0.0
F4_Actual_12,0.0,0.0
Conf_WCC,0.0,0.0
Conf_WAC,0.0,0.0
Conf_Sun Belt,0.0,0.0
Conf_Summit,0.0,0.0
Conf_Southland,0.0,0.0
S16_Actual_Full,0.0,0.0
Conf_Southern,0.0,0.0
F4_Actual_Full,0.0,0.0
First_Year,0.0,0.0
Conf_CUSA,0.0,0.0
Conf_Big Ten,0.0,0.0
RankOff_2,-0.00022321428571425717,0.0015624999999999903
Conf_MAC,-0.00022321428571427936,0.0006696428571428382
Conf_SWAC,-0.00022321428571427936,0.0006696428571428382
Conf_MVC,-0.00022321428571427936,0.0006696428571428382
Conf_AAC,-0.00022321428571427936,0.0006696428571428382
Conf_Big West,-0.00022321428571427936,0.0006696428571428382
RankDE,-0.00044642857142853656,0.002187044413199265
Region_South,-0.00044642857142853656,0.002187044413199265
R32_Actual_6,-0.0004464285714285476,0.0013392857142856985
Conf_CAA,-0.00044642857142855873,0.0008928571428571175
Conf_A-10,-0.00044642857142855873,0.0008928571428571175
RankOff_3,-0.000669642857142827,0.0014292688029983857
RankAdjDE,-0.0008928571428571175,0.0010935222065996018
Region_East,-0.0008928571428571286,0.0014806360671229311
S16_Actual_12,-0.0011160714285713969,0.0011160714285713969
Off_3,-0.0011160714285713969,0.0022872657959731243
Conf_Big 12,-0.0011160714285713969,0.0011160714285713969
RankOE,-0.001116071428571408,0.0014973669492185915
RankOff_1,-0.0015624999999999888,0.0024553571428571424
Seed,-0.0017857142857142573,0.002404091431756483
RankAdjOE,-0.0020089285714285253,0.001202045715878226
Winner_Actual_6,-0.0020089285714285365,0.0015624999999999905
Winner_Actual_12,-0.0020089285714285365,0.0021057993598340647
OE,-0.002232142857142827,0.0022321428571428605
Wins,-0.002678571428571397,0.002603103524484504
Conf_SEC,-0.0029017857142856762,0.0014292688029984117
E8_Actual_6,-0.0031249999999999555,0.0010935222065996564
AdjOE,-0.004241071428571408,0.0015625000000000333
E8_Actual_12,-0.0049107142857142795,0.0013392857142857427
AdjEM,-0.0049107142857142795,0.0034290829231556365
E8_Actual_Full,-0.00513392857142857,0.001429268802998434
AdjDE,-0.005357142857142849,0.00285853760599682
