feature,importance,n,p99_high,p99_low,p_value,stddev
AdjEM_diff,0.025856686047312307,10.0,0.04217224785672685,0.009541124237897766,0.004105003846909357,0.015875983865242433
Seed_B,0.012351923920041577,10.0,0.022925944641773863,0.00177790319830929,0.16809987730306697,0.010289132812582247
Wins_diff,0.0073021021899905,10.0,0.014952415605910846,-0.0003482112259298442,0.375251434714938,0.007444196759753343
RankAdjEM_diff,0.0023233477585853073,10.0,0.0068663965086368855,-0.0022197009914662704,0.3551466356308624,0.004420648795140495
OR1_diff,0.002006730515660656,10.0,0.003981246811731415,3.22142195898978e-05,0.33364766402651486,0.0019213183845124644
AdjOE_diff,0.0013015236715409198,10.0,0.0052734940567289905,-0.0026704467136471517,0.2931755004275815,0.003864956566318164
AdjDE_diff,0.0011770105742891575,10.0,0.0040813474337053285,-0.0017273262851270135,0.370062426651355,0.002826087489841367
DR5Rank_diff,0.001128228521063886,10.0,0.0025708151752823322,-0.0003143581331545599,0.2767887279079123,0.00140372012402115
OR1Rank_diff,0.0010044693233617265,10.0,0.0027195528431549977,-0.0007106141964315444,0.5004873030765147,0.0016688753109359359
Pts2_diff,0.0007722692669646351,10.0,0.0016215771637094981,-7.703862978022788e-05,0.3360147245801494,0.0008264256311151979
Pts4_diff,0.0006712761882996743,10.0,0.0010436084874413804,0.0002989438891579684,0.33337350121289117,0.0003623008292776928
Round,0.0006011495828797008,10.0,0.0009790455173875412,0.00022325364837186043,0.16786474071197335,0.0003677145677892209
starters_questionable_diff,0.0005368781558238241,10.0,0.001827526284731874,-0.0007537699730842258,0.36823586765008387,0.0012558751644351008
Pts3_diff,0.0005155683608323858,10.0,0.0007663395776731415,0.0002647971439916301,0.333348405037771,0.00024401487603900718
Def_3_diff,0.0005009744347198808,10.0,0.002202282916989129,-0.0012003340475493676,0.4021737917893949,0.0016554714039158111
RankDef_1_diff,0.0004496815732891439,10.0,0.0014623068329583206,-0.000562943686380033,0.26040629181255176,0.0009853428568281498
Pts5_diff,0.0004267479607856413,10.0,0.001975797532633773,-0.0011223016110624901,0.3494635775153812,0.0015073146911147711
Hgt4_diff,0.0003414335573530547,10.0,0.0015910435549264385,-0.0009081764402203291,0.336428624476474,0.001215942692691902
RankOE_diff,0.000314442868098419,10.0,0.0008569306228495108,-0.00022804488665267275,0.34870981275237395,0.0005278719140734864
DR3Rank_diff,0.00028110011020342863,10.0,0.0020898039962732053,-0.0015276037758663482,0.5070343168729584,0.0017599733339047953
Size_diff,0.00026469231642374617,10.0,0.0006870543758148714,-0.00015766974296737898,0.3453590061396001,0.00041098267522206045
Seed_A,0.00025828136656770676,10.0,0.001897314587067725,-0.0013807518539323115,0.36791708684595736,0.0015948739778142134
Hgt3Rank_diff,0.000194307476409609,10.0,0.0030498669761282533,-0.002661252023309035,0.4473783601591989,0.0027786243019601985
Tempo_Mismatch,0.0001807609412685355,10.0,0.0013365558256627924,-0.0009750339431257214,0.49652289498379715,0.0011246551697401469
DR3_diff,0.00016464332248288622,10.0,0.0020955603534839914,-0.0017662737085182188,0.5055213040118072,0.001878893781739495
RankTempo_diff,0.00016048342497564373,10.0,0.001441063272090787,-0.0011200964221394997,0.38593415039970935,0.0012460781448067196
Hgt4Rank_diff,0.0001079505170922146,10.0,0.001695965181357465,-0.0014800641471730358,0.4418681869323382,0.0015452299762730734
Pts4Rank_diff,0.00010142894751155411,10.0,0.00044410796750675414,-0.00024125007248364586,0.39353722592822366,0.00033344647618947684
Hgt5_diff,0.0,10.0,0.0,0.0,0.5,0.0
starters_injuries_diff,0.0,10.0,0.0,0.0,0.5,0.0
DR4Rank_diff,0.0,10.0,0.0,0.0,0.5,0.0
starters_out_diff,0.0,10.0,0.0,0.0,0.5,0.0
Pts2Rank_diff,0.0,10.0,0.0,0.0,0.5,0.0
Conf_B,0.0,10.0,0.0,0.0,0.5,0.0
Pts3Rank_diff,0.0,10.0,0.0,0.0,0.5,0.0
DR4_diff,0.0,10.0,0.0,0.0,0.5,0.0
RankAdjDE_diff,0.0,10.0,0.0,0.0,0.5,0.0
Year,0.0,10.0,0.0,0.0,0.5,0.0
E8_Actual_Full_diff,0.0,10.0,0.0,0.0,0.5,0.0
Hgt5Rank_diff,0.0,10.0,0.0,0.0,0.5,0.0
RankAdjOE_diff,0.0,10.0,0.0,0.0,0.5,0.0
Hgt1Rank_diff,0.0,10.0,0.0,0.0,0.5,0.0
Hgt1_diff,0.0,10.0,0.0,0.0,0.5,0.0
Pts1Rank_diff,0.0,10.0,0.0,0.0,0.5,0.0
F4_Actual_Full_diff,-2.33161269320196e-05,10.0,0.00034153495219136,-0.00038816720605539917,0.5266500958582285,0.0003550211701589524
Pts1_diff,-9.140108401005284e-05,10.0,0.0011176731850774677,-0.0013004753530975735,0.5314258075459691,0.0011764990879343832
Pts5Rank_diff,-9.254733832972558e-05,10.0,0.0022498342748854126,-0.002434928951544864,0.5276871510287847,0.0022792725823382784
HgtEff_diff,-0.00011596471204985044,10.0,0.00011288385961153256,-0.0003448132837112334,0.6443322716320602,0.00022268287624539147
Def_1_diff,-0.0002335116509386633,10.0,0.00015928867343667825,-0.0006263119753140049,0.6524327171485648,0.0003822173998597165
Tempo_diff,-0.00028127097384388343,10.0,-1.2042916007551615e-05,-0.0005504990316802153,0.6653444367137323,0.0002619744482113875
Winner_Actual_Full_diff,-0.0003290937762168674,10.0,1.7316287949338857e-05,-0.0006755038403830736,0.6645026311222996,0.0003370769976358927
OR4Rank_diff,-0.0003339829979316663,10.0,0.0011694346533751778,-0.0018374006492385103,0.5852236659031319,0.0014629121971819249
AdjTempo_diff,-0.0003579348041847638,10.0,0.0012522045388953073,-0.0019680741472648347,0.5693028420608202,0.0015667585664614345
SizeRank_diff,-0.0003862798154419034,10.0,-0.0002546454844613207,-0.0005179141464224861,0.666665782755785,0.00012808780593468903
Off_2_diff,-0.0004750296473091775,10.0,-0.0002724008904296343,-0.0006776584041887208,0.6666612287986083,0.00019716948226677062
DR1Rank_diff,-0.0004803183548830211,10.0,1.638807229485087e-05,-0.0009770247820608932,0.6646870058890864,0.0004833240384703049
Last10_diff,-0.0004878092363617285,10.0,0.00013344721403816756,-0.0011090656867616246,0.5151225702859562,0.0006045184038367145
RankOff_3_diff,-0.0004988342220542933,10.0,-3.322899179889325e-05,-0.0009644394523096933,0.6655134556482617,0.0004530607777687348
RankAdjTempo_diff,-0.0005029649957792315,10.0,2.307754930169676e-05,-0.0010290075408601598,0.6645709650669523,0.0005118697753525633
OE_diff,-0.0005212157721187697,10.0,-0.0002683760974683714,-0.0007740554467691682,0.6666518998536334,0.0002460276049413532
WinStreak_SD_diff,-0.0005232992092571406,10.0,0.0001894537445404005,-0.0012360521630546816,0.7361613601574725,0.0006935497855712326
R32_Actual_Full_diff,-0.0005537449136054177,10.0,2.2496229364774602e-05,-0.00112998605657561,0.6646233448754043,0.0005607159100708838
RankOff_2_diff,-0.0005574880114467162,10.0,-0.00019567545313269445,-0.0009193005697607379,0.6665447444521441,0.0003520645139366866
DR5_diff,-0.0006100229828437091,10.0,0.0006460444374930722,-0.0018660904031804904,0.5335417022564303,0.001222226137957243
RankDef_2_diff,-0.0007390341198632689,10.0,0.00015240157746260685,-0.0016304698171891445,0.7289911679683145,0.0008674184139635567
Hgt3_diff,-0.0007989946588988217,10.0,0.0015214941181328837,-0.003119483435930527,0.8005636937311996,0.0022579695884191835
HgtEffRank_diff,-0.0008516162524676054,10.0,0.0005438108864514162,-0.0022470433913866273,0.7586405237202841,0.001357831192169947
WinStreak_diff,-0.0008937869008372826,10.0,-0.0001757882640991952,-0.00161178553757537,0.8318043316087582,0.0006986541380108917
DefOff_Matchup_A,-0.0009049298198522257,10.0,-2.29568240520381e-05,-0.001786902815652413,0.5005643482968383,0.0008582106589074762
Exp_diff,-0.0010907326349078243,10.0,0.0017639701134404178,-0.003945435383256066,0.5953767124354371,0.002777790633399354
DefOff_Matchup_B,-0.0011632272307061135,10.0,-0.0007748725569413969,-0.0015515819044708303,0.6666659206873278,0.00037789152507898663
RankOff_1_diff,-0.0012359915629750657,10.0,0.0008332448063830083,-0.00330522793233314,0.8080402512260588,0.0020134864859109886
Hgt2Rank_diff,-0.0012603969042749815,10.0,0.00014913050337638512,-0.0026699243119263478,0.7763898879808376,0.0013715515679378913
