,importance,n,p99_high,p99_low,p_value,stddev
Seed,0.009161086309523813,5.0,0.021951094146547268,-0.003628921527499643,0.0762870370499498,0.006211715387077668
R32_AdjEM_Avg,0.005739211309523839,5.0,0.014996475022255346,-0.003518052403207667,0.05213123995477611,0.004495969680343252
R32_RankAdjEM_Avg,0.0044053199404762225,5.0,0.013395195109282401,-0.004584555228329954,0.08571953728329568,0.0043661072475915455
R32_RankAdjOE_Avg,0.0032198660714285675,5.0,0.008675175558397606,-0.0022354434155404715,0.0292059726574488,0.0026494768661035196
WinStreak,0.0030223214285714614,5.0,0.013473347671322045,-0.007428704814179124,0.5381246122018174,0.00507574360782835
S16_Actual_6,0.0025416666666666717,5.0,0.008498523487704138,-0.0034151901543707955,0.157002779849595,0.002893063057142608
R32_AdjOE_Avg,0.0017665550595238777,5.0,0.0068189037739932795,-0.003285793654945524,0.0931997881355663,0.002453771150921782
AdjEM,0.0014786086309524233,5.0,0.003891356372187673,-0.000934139110282826,0.08173743204396622,0.001171797739324591
E8_AdjEM_Avg,0.001426525297619115,5.0,0.005422631013439,-0.0025695804182007693,0.10105798502223455,0.0019407862512400328
S16_AdjEM_Avg,0.0013595610119047825,5.0,0.005989911243787588,-0.003270789219978023,0.12188600867157291,0.0022488194025719046
E8_Actual_Full,0.0013493303571428935,5.0,0.00745748700138191,-0.004758826287096122,0.17101338592818285,0.0029665447509632046
RankAdjDE_Seed_Avg,0.0013270089285714716,5.0,0.003171585892994154,-0.0005175680358512114,0.01181717499159172,0.0008958545810570781
S16_AdjDE_Avg,0.0013266369047619277,5.0,0.002927817863717385,-0.0002745440541935295,0.32820373628515115,0.0007776445899781468
R32_RankAdjDE_Avg,0.0012873883928571658,5.0,0.006399129934876904,-0.0038243531491625733,0.3156813147012784,0.002482616429632912
S16_RankAdjOE_Avg,0.0012167038690476786,5.0,0.0035667968654509337,-0.0011333891273555767,0.032363746023055646,0.0011413682472159374
E8_RankAdjEM_Avg,0.001200520833333337,5.0,0.0036446917590637023,-0.0012436500923970284,0.04880087742037784,0.001187059018373558
R32_AdjDE_Avg,0.0010647321428571461,5.0,0.004780047236673009,-0.002650582950958716,0.14593394483315802,0.0018044148393163784
RankDE_Seed_Avg,0.0010507812500000437,5.0,0.0034393915406643553,-0.0013378290406642684,0.3629904150776868,0.001160074918273434
