model,fit_order,fit_time,fit_time_marginal,pred_time_test,pred_time_test_marginal,pred_time_val,pred_time_val_marginal,score_test,score_val,stack_level,auc_score
NeuralNetTorch_r41,37.0,1.0788114070892334,1.0788114070892334,0.013479232788085938,0.013479232788085938,0.011898040771484375,0.011898040771484375,0.9030376344086021,0.9030376344086021,1.0,0.9030376344086021
RandomForestEntr,4.0,0.2978959878285726,0.2978959878285726,0.02392260233561198,0.02392260233561198,0.01653766632080078,0.01653766632080078,0.8983938172043011,0.8983938172043011,1.0,0.8983938172043011
CatBoost_r9,14.0,58.96875262260437,58.96875262260437,0.01199038823445638,0.01199038823445638,0.008355458577473959,0.008355458577473959,0.897997311827957,0.897997311827957,1.0,0.897997311827957
CatBoost_r70,33.0,16.498098770777386,16.498098770777386,0.008819023768107096,0.008819023768107096,0.007510026295979817,0.007510026295979817,0.8955241935483871,0.8955241935483871,1.0,0.8955241935483871
ExtraTreesEntr,7.0,0.21576460202534994,0.21576460202534994,0.021016915639241535,0.021016915639241535,0.021378358205159504,0.021378358205159504,0.8948891129032258,0.8948891129032258,1.0,0.8948891129032258
NeuralNetTorch_r158,40.0,2.5274856090545654,2.5274856090545654,0.014135599136352539,0.014135599136352539,0.012316068013509115,0.012316068013509115,0.8935080645161291,0.8935080645161291,1.0,0.8935080645161291
CatBoost_r86,41.0,26.996288537979126,26.996288537979126,0.0077817440032958984,0.0077817440032958984,0.007152477900187175,0.007152477900187175,0.8918750000000001,0.8918750000000001,1.0,0.8918750000000001
ExtraTrees_r49,44.0,0.2277071475982666,0.2277071475982666,0.02753591537475586,0.02753591537475586,0.020764668782552082,0.020764668782552082,0.8914751344086022,0.8914751344086022,1.0,0.8914751344086023
ExtraTreesGini,6.0,0.2138979434967041,0.2138979434967041,0.02017943064371745,0.02017943064371745,0.02105085055033366,0.02105085055033366,0.8914751344086022,0.8914751344086022,1.0,0.8914751344086023
NeuralNetTorch_r30,24.0,1.7733510335286458,1.7733510335286458,0.015059471130371094,0.015059471130371094,0.012699047724405924,0.012699047724405924,0.8899663978494624,0.8899663978494624,1.0,0.8899663978494624
CatBoost_r167,36.0,11.482317288716635,11.482317288716635,0.00764918327331543,0.00764918327331543,0.007055918375651042,0.007055918375651042,0.889502688172043,0.889502688172043,1.0,0.8895026881720431
CatBoost_r50,27.0,5.335238774617513,5.335238774617513,0.008065938949584961,0.008065938949584961,0.007974863052368164,0.007974863052368164,0.8866666666666667,0.8866666666666667,1.0,0.8866666666666667
CatBoost_r13,20.0,41.04510339101156,41.04510339101156,0.008682886759440104,0.008682886759440104,0.0072863101959228516,0.0072863101959228516,0.8835887096774194,0.8835887096774194,1.0,0.8835887096774194
LightGBM_r96,15.0,1.837225039800008,1.837225039800008,0.005803267161051433,0.005803267161051433,0.0031549930572509766,0.0031549930572509766,0.8827620967741936,0.8827620967741936,1.0,0.8827620967741936
LightGBM_r196,34.0,14.314390182495117,14.314390182495117,0.018852949142456055,0.018852949142456055,0.0062863826751708984,0.0062863826751708984,0.8771505376344088,0.8771505376344088,1.0,0.8771505376344088
CatBoost_r177,11.0,6.632003863652547,6.632003863652547,0.007703065872192383,0.007703065872192383,0.006873369216918945,0.006873369216918945,0.8754435483870968,0.8754435483870968,1.0,0.8754435483870968
NeuralNetTorch_r86,26.0,1.4673883120218914,1.4673883120218914,0.01355433464050293,0.01355433464050293,0.012320995330810547,0.012320995330810547,0.8725940860215053,0.8725940860215053,1.0,0.8725940860215053
ExtraTrees_r172,29.0,0.3542172908782959,0.3542172908782959,0.02482295036315918,0.02482295036315918,0.01763327916463216,0.01763327916463216,0.870766129032258,0.870766129032258,1.0,0.870766129032258
CatBoost,5.0,8.039982557296753,8.039982557296753,0.008521397908528646,0.008521397908528646,0.007515350977579753,0.007515350977579753,0.870638440860215,0.870638440860215,1.0,0.870638440860215
CatBoost_r49,43.0,3.0519889990488687,3.0519889990488687,0.007341702779134114,0.007341702779134114,0.006928284962972005,0.006928284962972005,0.8704905913978495,0.8704905913978495,1.0,0.8704905913978495
LightGBM_r188,22.0,4.706369320551555,4.706369320551555,0.005303621292114258,0.005303621292114258,0.00293731689453125,0.00293731689453125,0.868904569892473,0.868904569892473,1.0,0.868904569892473
CatBoost_r69,30.0,4.387512286504109,4.387512286504109,0.00839527448018392,0.00839527448018392,0.00693662961324056,0.00693662961324056,0.868225806451613,0.868225806451613,1.0,0.8682258064516128
NeuralNetTorch_r79,12.0,1.9645927747090657,1.9645927747090657,0.01435693105061849,0.01435693105061849,0.012327353159586588,0.012327353159586588,0.8681586021505376,0.8681586021505376,1.0,0.8681586021505376
RandomForestGini,3.0,0.28661513328552246,0.28661513328552246,0.019974629084269207,0.019974629084269207,0.01659417152404785,0.01659417152404785,0.8634811827956991,0.8634811827956991,1.0,0.8634811827956989
CatBoost_r137,19.0,3.524785041809082,3.524785041809082,0.00795284907023112,0.00795284907023112,0.006949663162231445,0.006949663162231445,0.8578629032258064,0.8578629032258064,1.0,0.8578629032258064
ExtraTrees_r42,18.0,0.33114298184712726,0.33114298184712726,0.02131048838297526,0.02131048838297526,0.01639874776204427,0.01639874776204427,0.8575336021505375,0.8575336021505375,1.0,0.8575336021505376
NeuralNetTorch,9.0,0.9964709281921387,0.9964709281921387,0.013493935267130533,0.013493935267130533,0.011997699737548828,0.011997699737548828,0.8560551075268817,0.8560551075268817,1.0,0.8560551075268816
NeuralNetTorch_r197,42.0,0.6578945318857828,0.6578945318857828,0.012323379516601562,0.012323379516601562,0.011591355005900065,0.011591355005900065,0.8524798387096775,0.8524798387096775,1.0,0.8524798387096775
XGBoost_r98,38.0,4.154667615890503,4.154667615890503,0.016216595967610676,0.016216595967610676,0.010968605677286783,0.010968605677286783,0.8513239247311827,0.8513239247311827,1.0,0.8513239247311827
LightGBMXT,1.0,1.7529743512471516,1.7529743512471516,0.003644863764444987,0.003644863764444987,0.0024965604146321616,0.0024965604146321616,0.8501814516129033,0.8501814516129033,1.0,0.8501814516129031
XGBoost_r33,17.0,2.2727370262145996,2.2727370262145996,0.011581818262736002,0.011581818262736002,0.005244334538777669,0.005244334538777669,0.8489045698924732,0.8489045698924732,1.0,0.8489045698924732
NeuralNetTorch_r22,16.0,1.194123109181722,1.194123109181722,0.014160235722859701,0.014160235722859701,0.012424627939860025,0.012424627939860025,0.8462701612903225,0.8462701612903225,1.0,0.8462701612903225
XGBoost_r194,28.0,1.0214279492696126,1.0214279492696126,0.012911319732666016,0.012911319732666016,0.010416666666666666,0.010416666666666666,0.844872311827957,0.844872311827957,1.0,0.8448723118279569
RandomForest_r127,46.0,2.3386568228403726,2.3386568228403726,0.01808444658915202,0.01808444658915202,0.02156837781270345,0.02156837781270345,0.8356451612903225,0.8356451612903225,1.0,0.8356451612903225
NeuralNetTorch_r14,31.0,0.6483332316080729,0.6483332316080729,0.013225078582763672,0.013225078582763672,0.011450370152791342,0.011450370152791342,0.8349932795698924,0.8349932795698924,1.0,0.8349932795698924
XGBoost,8.0,0.7542374928792318,0.7542374928792318,0.008214950561523438,0.008214950561523438,0.005000591278076172,0.005000591278076172,0.8311155913978494,0.8311155913978494,1.0,0.8311155913978494
RandomForest_r195,21.0,1.9319746494293213,1.9319746494293213,0.019802014032999676,0.019802014032999676,0.01572561264038086,0.01572561264038086,0.8289482526881721,0.8289482526881721,1.0,0.8289482526881718
XGBoost_r89,23.0,0.8038818041483561,0.8038818041483561,0.007454236348470052,0.007454236348470052,0.004955768585205078,0.004955768585205078,0.8282661290322579,0.8282661290322579,1.0,0.828266129032258
RandomForest_r39,35.0,1.9475716749827068,1.9475716749827068,0.01903843879699707,0.01903843879699707,0.02105236053466797,0.02105236053466797,0.8192674731182796,0.8192674731182796,1.0,0.8192674731182796
LightGBM_r130,25.0,1.4109898408253987,1.4109898408253987,0.003434896469116211,0.003434896469116211,0.0023948351542154946,0.0023948351542154946,0.8005510752688171,0.8005510752688171,1.0,0.8005510752688171
LightGBM_r143,45.0,5.58537236849467,5.58537236849467,0.006249348322550456,0.006249348322550456,0.003534396489461263,0.003534396489461263,0.7580309139784945,0.7580309139784945,1.0,0.7580309139784945
LightGBM_r161,32.0,9.343088706334433,9.343088706334433,0.008855819702148438,0.008855819702148438,0.004486242930094401,0.004486242930094401,0.7531048387096774,0.7531048387096774,1.0,0.7531048387096774
