Feature,Importance,SHAP
Region_South,0.026550454235605172,-3.8262029860191936e-05
Seed,0.013044925033637448,-6.967499563420647e-05
Conf_Big Ten,0.012530818294347289,-0.0001738201344625878
Hgt5Rank,0.008521980031466843,-7.771176798333227e-05
HgtEffRank,0.00815329243097388,-9.2244816949177e-05
Winner_Actual_12,0.007148950329789746,-4.4975398672803194e-05
Winner_RankDef_1_Avg,0.006861075094558956,-4.617265287909233e-05
Conf_ACC,0.00645004739191694,4.075989021678973e-06
OR5Rank,0.006405455483162798,-4.929723769104877e-06
Conf_SEC,0.006149406300933703,0.000256937157304904
RankAdjDE,0.006038469435645542,-6.53207689967802e-05
S16_Actual_12,0.005980940737403469,4.6140721142721685e-06
E8_Actual_6,0.005944733874567404,-6.336866910603122e-05
Winner_Actual_6,0.005886828391585264,-3.10416034668807e-05
Conf_MWC,0.005804105577214115,2.6628569572295608e-05
NCG_Pts5Rank_Avg,0.005650626829308077,-2.3769172535968604e-06
Region_West,0.005649094691860706,-1.0670436937587638e-06
NCG_OR4Rank_Avg,0.005496947091471067,-6.449119245550781e-06
NCG_Actual_6,0.005448220601356565,-2.2100230711445274e-05
Conf_Pac-12,0.005325244296646458,-8.717672875064863e-05
E8_Actual_12,0.005269163121910434,-2.4527765907601885e-05
Conf_WCC,0.005265290538163841,-0.00016440021084562792
Conf_A-10,0.005244290672254445,0.00024261308410800108
Pts5Rank_Seed_Avg,0.005209302527199289,-2.6675971361133738e-05
Winner_Actual_Full,0.005174952184443178,-3.145941489946344e-05
Conf_Big 12,0.00508166929871927,-3.8767719408916435e-05
NCG_Hgt2Rank_Avg,0.0050481845476254995,7.522048522976263e-06
Winner_Pts5Rank_Avg,0.005007826077097277,-5.046619398031353e-06
RankDef_2,0.00480871667758251,-0.00011765945473323812
E8_BenchRank_Avg,0.004661794517140846,7.989566770206428e-06
NCG_ExpRank_Avg,0.0046549202809303275,-1.0462813599997165e-05
S16_Actual_6,0.004652074556877743,-2.470584831031398e-06
RankOE,0.0046476889361231144,-1.4367904446275506e-05
Winner_BenchRank_Avg,0.004646633675195019,8.889656794075945e-06
Winner_RankOff_3_Avg,0.004610642030928189,-1.9846427193636564e-05
RankDE,0.004547498300917335,-7.218010896577074e-05
RankAdjOE,0.004547216504926348,1.3164403944876732e-05
F4_RankDef_1_Avg,0.004482783233413219,-2.7343863328392888e-05
F4_Actual_12,0.004381733701088685,-5.175378174521598e-05
RankAdjEM,0.0043386077955097435,-4.444488094653825e-05
E8_OR2Rank_Avg,0.00417799836553235,1.8111086406596882e-06
Winner_OR4Rank_Avg,0.004173550608735123,-2.1113150548288507e-06
SizeRank,0.004169471416191557,-0.00010148307457189184
Hgt2Rank,0.0039583060756626645,7.72321479302723e-05
NCG_RankDef_1_Avg,0.003946650612540233,-2.0994350021070554e-05
BenchRank_Seed_Avg,0.0039053044785747,5.333425452775331e-06
S16_Actual_Full,0.003895382621323636,7.66675141046795e-06
Winner_Hgt5Rank_Avg,0.00379820131605335,8.874120147533356e-06
Region_Midwest,0.00378107616697019,4.626660844486709e-06
RankDef_3_Seed_Avg,0.003745265290417802,1.70823890809055e-05
Winner_Hgt2Rank_Avg,0.003700593496827496,4.53361134047418e-06
NCG_DR1Rank_Avg,0.003694443173038816,-1.0878817452160886e-05
Region_East,0.0036858292135353455,2.0094110193102835e-06
NCG_Pts4Rank_Avg,0.003671636253227824,-7.291837594084427e-06
R32_OR2Rank_Avg,0.0034746024770295884,7.255667121175775e-06
R32_RankAdjTempo_Avg,0.0034133286804862296,-2.7409145390758285e-05
Winner_Pts3Rank_Avg,0.0034072093850369472,-1.6150113072453703e-05
Hgt3Rank,0.003406337715529411,-7.132791975156923e-05
Hgt2Rank_Seed_Avg,0.003402842431208257,4.89305355499756e-07
R32_Hgt5Rank_Avg,0.0033829072354718023,3.877144135802626e-06
Pts2Rank,0.0033693280103791316,-2.100759256961493e-05
