Feature,Importance,SHAP
R32_RankAdjEM_Avg,0.08620545613816004,5.066177458791971e-06
R32_AdjDE_Avg,0.04052366314779407,-0.00013533003038161998
S16_Actual_12,0.03913286518637486,0.0006519371555404509
E8_RankAdjEM_Avg,0.03575362569325019,0.00027953545766142354
R32_AdjOE_Avg,0.03384585692758741,-0.0004516286351060084
Winner_RankAdjEM_Avg,0.03166690375140269,0.00010478054788985796
R32_RankAdjDE_Avg,0.03116953231601829,0.0002559023412647769
Winner_AdjEM_Avg,0.02811263079926435,-0.00039062941950342687
E8_AdjEM_Avg,0.026884569252584676,-0.00018568923965867602
S16_RankAdjOE_Avg,0.026791724032915146,-0.0003168810149800609
S16_Actual_6,0.02615026089763174,0.0010135734330478945
S16_Actual_Full,0.024634056268942318,0.0004339094917199417
Seed,0.02117404624228808,-0.00010511943625596102
R32_AdjEM_Avg,0.019908523618698642,-3.862894290705646e-06
F4_RankOE_Avg,0.019801174600598555,-0.0006456110883705232
E8_Actual_Full,0.019567167168119633,0.0006116780613024758
R32_BenchRank_Avg,0.016523012639534203,-0.0007566678998981419
S16_AdjEM_Avg,0.016375231827442122,0.00011273163779970516
RankAdjEM,0.015345419078862941,-0.0001646572032307501
R32_Actual_Full,0.014943911262760531,-1.3521849463246871e-05
E8_RankAdjDE_Avg,0.014220630157290186,9.487405943435593e-05
NCG_RankAdjDE_Avg,0.014137101934304721,0.000203942147811836
S16_RankAdjEM_Avg,0.014060721952998763,-0.0002608913950264874
F4_AdjEM_Avg,0.01398448482412621,-0.00012526483673882706
R32_Hgt5Rank_Avg,0.01331203903397363,-0.00018252871570264003
NCG_RankAdjOE_Avg,0.010016999851004956,-0.00016999769358924357
RankAdjOE,0.009805382197160916,-0.00024770896713470286
R32_RankAdjOE_Avg,0.009429024332412186,-0.00038561226488408734
R32_RankOE_Avg,0.008990070805877973,-0.000280494270692809
R32_RankAdjTempo_Avg,0.008940141618325874,-0.00025172858705281283
Winner_HgtEff_Avg,0.008918081804916551,-0.0005052117930311702
S16_Hgt5_Avg,0.008869636482476156,-0.00013887062722067918
Winner_RankOE_Avg,0.008824067768124376,-0.00012900461647249369
R32_Actual_6,0.008585111872187287,-0.00022148363770618204
Pts5Rank,0.008582796968175951,5.221082061603226e-05
Wins,0.00856769329352773,-0.00012043002810180963
S16_Bench_Avg,0.008460426501662127,-0.0002389596427498209
E8_RankOff_1_Avg,0.008453121130929293,-4.046444745802247e-05
R32_Pts4_Avg,0.00842683916613217,-0.00018200495271058893
ExpRank,0.00838948773637954,-4.385035767910474e-05
Winner_OR3Rank_Avg,0.008263390801355274,-4.788117613548241e-05
S16_OR5Rank_Avg,0.008246783943824193,-7.87100302779348e-05
R32_Hgt4_Avg,0.008139800478548781,-8.714296892409112e-05
AdjDE,0.008107751639252486,-0.00028696920249995033
F4_RankAdjDE_Avg,0.008097670340477342,5.045845863141009e-05
F4_RankAdjEM_Avg,0.008062545562919098,-1.181894452437658e-05
E8_AdjDE_Avg,0.008056695205356908,6.869231019637466e-05
F4_Hgt4Rank_Avg,0.007932204537972483,-0.0002890781371143546
S16_OE_Avg,0.007895380225755286,-0.00017381742896170981
Winner_OE_Avg,0.007828208325494915,-0.00019374319051735544
Winner_AdjOE_Avg,0.007798867221703623,-0.00027143830923170365
NCG_DR1_Avg,0.007795595079919965,3.170565543207368e-05
F4_RankAdjOE_Avg,0.007507924608269293,-0.00019747459946299517
S16_Tempo_Avg,0.007420211935407061,-0.00019164494586546287
S16_RankAdjDE_Avg,0.007364239255193489,8.05014609199742e-05
Winner_RankAdjOE_Avg,0.007255427279063576,-0.00019576615212432675
E8_HgtEff_Avg,0.007222534214198718,-0.0003783167373838702
NCG_RankAdjEM_Avg,0.0071939982248456,6.0186383742904657e-05
R32_Pts2_Avg,0.007133168710166348,4.304486368158609e-05
Winner_AdjDE_Avg,0.007081333772743448,3.021098768668178e-05
DR5,0.007050738484850377,-0.0002023331596675253
NCG_OE_Avg,0.00694488261310935,-0.00022835044473523935
NCG_OR5Rank_Avg,0.006870024267500404,0.0001334649031214231
R32_OR3_Avg,0.006863027727239604,-6.063108386167238e-05
R32_ExpRank_Avg,0.006770309154590433,3.3777324952477794e-05
F4_AdjDE_Avg,0.006572812721603486,-0.00012346184862722386
Winner_Pts3_Avg,0.0065148646013953445,-8.390178488052216e-05
R32_Actual_12,0.0064125494622540285,-0.00022112514679177496
E8_Pts4Rank_Avg,0.0019508267816762859,3.8204213407401155e-05
Region_Midwest,0.00022598156912469593,-1.1083860498568725e-07
Conf_MWC,0.00022073507065507856,-6.019263322508862e-06
Region_East,0.00021861586398354575,-8.690252150125798e-08
Conf_SEC,0.0001908735875283846,1.106374451472289e-05
E8_Actual_12,0.00017814820151767022,8.048423596596666e-06
RankAdjDE,0.00017777009797747696,-2.8815206718653936e-06
RankOE,0.00017189540561544795,-2.196332715589136e-06
Conf Tourney,0.00017065139493890291,1.4966145316883082e-06
E8_Actual_6,0.0001703913891512108,6.964398308651447e-06
Region_South,0.00014463654135997607,-3.414174991403278e-08
Conf_ACC,0.00013622284836053652,-7.730025744508838e-07
Hgt5Rank,0.0001307708218390779,-5.442487462285577e-07
S16_AdjDE_Avg,0.00011458960768500835,2.89614787815023e-07
OR5Rank,0.0001091376018347608,3.804203515613217e-07
RankDE,0.00010229462466575011,-2.6374872887832245e-06
R32_OR1Rank_Avg,9.40164747475612e-05,1.006326986490869e-06
Conf_Big East,9.372480986154354e-05,-5.397843385197272e-06
R32_DR3Rank_Avg,9.211724700507778e-05,-3.3743699741720136e-07
HgtEffRank,9.195052550658276e-05,-8.872080217389478e-07
NCG_AdjDE_Avg,9.046562244760818e-05,1.0458772527685459e-07
F4_Actual_12,8.545631655335586e-05,4.42919378624016e-06
F4_Actual_Full,8.511125768776564e-05,3.895700942802284e-06
F4_Actual_6,8.488639843836775e-05,3.221841110091323e-06
Conf_Pac-12,8.161277988294858e-05,-4.533705617373389e-06
Hgt3Rank,7.727176039332209e-05,-1.9584998787493283e-06
WinStreak,7.6216572087712e-05,9.116922007719853e-07
Pts2Rank,7.595404199695717e-05,-1.608213767942232e-06
RankDef_3,7.33549046186288e-05,-1.4767593470155867e-07
R32_DR1Rank_Avg,7.207595526190227e-05,3.791830135057094e-07
NCG_OR2Rank_Avg,6.821801299238827e-05,1.2749911577970258e-07
R32_RankDef_2_Avg,6.8056530662477e-05,2.8818346100596776e-07
Conf_WCC,6.790392076340238e-05,-2.610934005652485e-06
Winner_ExpRank_Avg,6.686428604475589e-05,-5.269620697405674e-07
DR5Rank,6.448202989405819e-05,-1.1189892333346968e-06
RankOff_1_Seed_Avg,6.338608415715747e-05,6.570530809119733e-08
Winner_RankAdjTempo_Avg,6.239822899636825e-05,-2.0945385796401828e-07
Conf_Big Ten,6.15623972490051e-05,-1.662913408134234e-06
S16_DR3Rank_Avg,6.155747708644078e-05,-1.4963723782814574e-07
NCG_RankAdjTempo_Avg,6.008100069689012e-05,-1.9398390593357724e-07
S16_BenchRank_Avg,5.898332248314166e-05,-4.9105375488593346e-08
Winner_RankOff_1_Avg,5.720591668793643e-05,-2.000649757043846e-07
First_Year,5.596228822904247e-05,-1.3342041043340081e-05
Winner_OR2Rank_Avg,5.5514237577574276e-05,1.0460570807331033e-07
Winner_Pts1Rank_Avg,5.5355008348609016e-05,4.8808373185172464e-09
NCG_ExpRank_Avg,5.383462775274006e-05,-4.5028956537740755e-07
R32_OE_Avg,5.316939373981486e-05,-5.3884676116704754e-08
Winner_OR5Rank_Avg,5.258145034047195e-05,-5.332388921298032e-08
WinStreak_SD,5.24028418977755e-05,-2.4412728495779373e-06
Winner_RankTempo_Avg,5.128783557495599e-05,-1.5496556095157768e-07
NCG_AdjEM_Avg,5.107560272995034e-05,7.89745347038812e-08
DR3Rank_Seed_Avg,5.010800407101175e-05,2.4234791389820598e-08
Hgt4Rank_Seed_Avg,4.992333719026456e-05,2.4339500197583135e-08
AdjEM,4.926672350021724e-05,-7.129241566939129e-08
NCG_RankTempo_Avg,4.870945856525871e-05,-1.4217958267262956e-07
SizeRank_Seed_Avg,4.779907930636581e-05,-7.030027662736063e-08
NCG_Actual_12,4.7749796540696994e-05,2.1439422523058647e-06
F4_RankAdjTempo_Avg,4.7657532697542044e-05,-1.5161750029761475e-07
Winner_Actual_12,4.736453113965759e-05,1.7299204157309985e-06
NCG_Actual_6,4.727359233318643e-05,1.2674223445317932e-06
SizeRank,4.695565623229122e-05,-1.4928214123791956e-06
Pts5Rank_Seed_Avg,4.66503605525835e-05,-1.0217000525079127e-07
Winner_Actual_Full,4.664336406790426e-05,1.5597379328752684e-06
RankAdjTempo,4.6437135953524435e-05,2.1653972075638865e-06
F4_ExpRank_Avg,4.6409760098778646e-05,-3.902931598697994e-07
F4_OR2Rank_Avg,4.6128823094591734e-05,9.340921459606826e-08
NCG_RankOff_1_Avg,4.564643085224336e-05,-1.677081284220037e-07
NCG_Actual_Full,4.5284349182915806e-05,1.8295778184238416e-06
R32_DR4Rank_Avg,4.464749437777877e-05,-4.0978935119279025e-07
NCG_Pts1Rank_Avg,4.415694501443213e-05,9.424082290273177e-09
E8_Pts1Rank_Avg,4.412995648433248e-05,5.756163229902912e-08
F4_Pts1Rank_Avg,4.397722964550175e-05,1.7459259203473835e-08
R32_DR5Rank_Avg,4.3561659628949246e-05,9.711008324699762e-08
Winner_DE_Avg,4.330867700260498e-05,-2.797222437840905e-07
HgtEffRank_Seed_Avg,4.269284113920386e-05,-6.190632036696134e-08
AdjOE,4.2468563464726396e-05,1.2950061599025296e-06
F4_RankTempo_Avg,4.214007151403157e-05,-1.2240344058598499e-07
NCG_AdjOE_Avg,4.196153582064348e-05,5.3393544761701e-08
NCG_Hgt2Rank_Avg,4.159584826385272e-05,-3.7599527686556983e-07
E8_ExpRank_Avg,4.1356689544695995e-05,-4.2197750926917774e-07
Winner_Actual_6,4.125217395989451e-05,8.411334875314485e-07
S16_AdjOE_Avg,4.110987326496131e-05,5.0285874778583583e-08
E8_OR5Rank_Avg,4.101627569322312e-05,-2.1494103118254485e-08
E8_DR1Rank_Avg,4.097646639586793e-05,2.882397647415295e-07
NCG_DE_Avg,4.079173415113164e-05,-2.495530724479359e-07
E8_DE_Avg,4.017575095775737e-05,-2.3762470470410392e-07
Conf_A-10,4.0103549850747506e-05,3.418380762064883e-06
S16_Exp_Avg,3.963204619842177e-05,-4.7325155759352405e-07
RankTempo,3.9570458548994486e-05,1.5100189439642874e-06
F4_Exp_Avg,3.956159830151359e-05,-3.6336618547659276e-07
Winner_Exp_Avg,3.947494917869676e-05,-3.330938020182771e-07
R32_DR2Rank_Avg,3.897033339953225e-05,-2.4061147633103195e-07
F4_AdjOE_Avg,3.871222179922398e-05,4.746927411186544e-08
Off_1_Seed_Avg,3.8591406328939886e-05,4.4263350056554103e-08
F4_DE_Avg,3.81931331849712e-05,-2.342438740985619e-07
F4_OR5Rank_Avg,3.813915787682634e-05,-3.04965104903105e-08
R32_RankDef_3_Avg,3.784622835677172e-05,1.1185470633189807e-08
F4_RankOff_1_Avg,3.764284291557819e-05,-1.5425673373502424e-07
E8_AdjOE_Avg,3.6831549134831886e-05,4.782829704159197e-08
S16_DE_Avg,3.664261196672154e-05,-1.996422975490777e-07
S16_ExpRank_Avg,3.6598537882653956e-05,-4.014566901444742e-07
R32_DR1_Avg,3.64236569334827e-05,2.842038743199047e-07
R32_Pts4Rank_Avg,3.5802416606863536e-05,-4.6406346927442324e-09
DE,3.566853422875745e-05,-2.443998088238127e-06
Pts2Rank_Seed_Avg,3.515616794365276e-05,2.3563721062188046e-08
RankDef_1,3.5082324580869425e-05,1.2710999333471682e-06
R32_DE_Avg,3.500983163853265e-05,-2.3224750294785954e-07
R32_Def_2_Avg,3.497857845796336e-05,1.4341581230828674e-07
E8_Exp_Avg,3.450194555783154e-05,-3.7946199532057515e-07
R32_HgtEffRank_Avg,3.4308307600449226e-05,3.167842245155389e-08
Winner_BenchRank_Avg,3.406915076662044e-05,1.868248239999189e-08
Exp,3.398097156312012e-05,-4.311542922733319e-06
RankOff_3_Seed_Avg,3.388260028492746e-05,-3.553821911947078e-08
Hgt2Rank_Seed_Avg,3.3723037305246744e-05,-6.927062181207534e-08
NCG_Exp_Avg,3.3353879666919734e-05,-3.002546280152166e-07
