Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
North Carolina,1,South,0.975933,0.570193,0.292608,0.294365,0.2602,0.087336
Florida Gulf Coast,16,South,0.024067,0.04697,0.007414,0.001152,0.000158,0.000379
USC,8,South,0.820296,0.303021,0.120585,0.012707,0.000849,0.000784
Providence,9,South,0.179704,0.079816,0.006404,0.004185,0.000324,0.000657
Indiana,5,South,0.94046,0.440998,0.211815,0.146476,0.00439,0.001329
Chattanooga,12,South,0.05954,0.048769,0.074871,0.008204,0.000166,0.000379
Kentucky,4,South,0.91482,0.436842,0.27875,0.202581,0.04275,0.005998
Stony Brook,13,South,0.085181,0.073392,0.007554,0.006551,0.002991,0.000702
Notre Dame,6,South,0.13912,0.164104,0.133252,0.009995,0.005503,0.00106
Michigan,11,South,0.86088,0.203659,0.078403,0.064814,0.004013,0.001276
West Virginia,3,South,0.729189,0.608273,0.23202,0.015153,0.047744,0.008363
Stephen F Austin,14,South,0.270811,0.023964,0.012501,0.004395,0.001249,0.000474
Wisconsin,7,South,0.445791,0.29107,0.113073,0.067045,0.008155,0.002721
Pittsburgh,10,South,0.554209,0.208207,0.083617,0.003865,0.001852,0.001169
Xavier,2,South,0.929476,0.420633,0.330341,0.15207,0.062006,0.011585
Weber State,15,South,0.070524,0.080091,0.016793,0.006444,0.001158,0.000702
Virginia,1,Midwest,0.989714,0.872331,0.376412,0.238832,0.178506,0.128665
Hampton,16,Midwest,0.010286,0.031491,0.02115,0.003581,0.00022,0.000665
Texas Tech,8,Midwest,0.2845,0.058948,0.049655,0.004753,0.00017,0.001098
Butler,9,Midwest,0.7155,0.037229,0.013838,0.007926,0.00064,0.002479
Purdue,5,Midwest,0.668334,0.471165,0.324679,0.123472,0.076149,0.006209
Arkansas Little Rock,12,Midwest,0.331666,0.211468,0.114121,0.006577,0.000514,0.000833
Iowa State,4,Midwest,0.904646,0.182858,0.055239,0.005266,0.005588,0.003213
Iona,13,Midwest,0.095354,0.13451,0.044906,0.000522,0.000228,0.00049
Seton Hall,6,Midwest,0.493092,0.118282,0.059656,0.08083,0.00344,0.000401
Gonzaga,11,Midwest,0.506908,0.41973,0.144479,0.085177,0.02851,0.002713
Utah,3,Midwest,0.96631,0.453781,0.258476,0.101115,0.023139,0.010818
Fresno State,14,Midwest,0.03369,0.008207,0.00511,0.001192,0.000192,0.000381
Dayton,7,Midwest,0.806192,0.152261,0.112738,0.023428,0.021219,0.005162
Syracuse,10,Midwest,0.193808,0.152829,0.086384,0.092315,0.009219,0.002231
Michigan State,2,Midwest,0.973903,0.615459,0.295756,0.222615,0.2086,0.016158
Middle Tennessee,15,Midwest,0.026097,0.079451,0.0374,0.0024,0.000155,0.000516
Oregon,1,East,0.991207,0.470576,0.290498,0.339411,0.189062,0.13229
Holy Cross,16,East,0.008793,0.008381,0.028573,0.002069,5.8e-05,0.000379
Saint Joseph's,8,East,0.591014,0.143192,0.064872,0.00298,0.000416,0.000895
Cincinnati,9,East,0.408986,0.377852,0.145903,0.039649,0.003921,0.08256
Baylor,5,East,0.708473,0.417905,0.192341,0.033764,0.000546,0.002285
Yale,12,East,0.291527,0.101412,0.003915,0.002689,0.000923,0.00055
Duke,4,East,0.590782,0.403374,0.193943,0.219539,0.05463,0.008748
UNC Wilmington,13,East,0.409218,0.077309,0.079954,0.010131,0.004293,0.002452
Texas,6,East,0.721619,0.408237,0.190926,0.024272,0.017406,0.009528
Northern Iowa,11,East,0.278381,0.03557,0.00766,0.005998,0.001529,0.001908
Texas A&M,3,East,0.965324,0.501832,0.346402,0.164215,0.156496,0.05067
Green Bay,14,East,0.034675,0.054361,0.005031,0.030863,0.001088,0.000513
Oregon State,7,East,0.169858,0.042938,0.054391,0.014365,0.004932,0.010848
VCU,10,East,0.830142,0.400402,0.07356,0.005472,0.006881,0.002166
Oklahoma,2,East,0.664007,0.508359,0.306211,0.098416,0.042087,0.012627
Cal State Bakersfield,15,East,0.335993,0.0483,0.015819,0.006168,0.000636,0.000743
Kansas,1,West,0.992778,0.579194,0.340738,0.200411,0.138076,0.087182
Austin Peay,16,West,0.007222,0.016683,0.008638,0.000895,0.000383,0.00049
Colorado,8,West,0.242343,0.108468,0.018462,0.001216,0.00032,0.000469
Connecticut,9,West,0.757657,0.295656,0.228871,0.079453,0.023547,0.003479
Maryland,5,West,0.910184,0.469684,0.241618,0.15181,0.011622,0.003102
South Dakota State,12,West,0.089816,0.138199,0.013237,0.004291,0.005858,0.000955
California,4,West,0.90736,0.343535,0.139138,0.105406,0.010358,0.001627
Hawaii,13,West,0.09264,0.048581,0.009299,0.000673,0.000418,0.000529
Arizona,6,West,0.573452,0.249093,0.077546,0.023671,0.050773,0.006955
Wichita State,11,West,0.426548,0.349615,0.083301,0.008,0.000181,0.002207
Miami FL,3,West,0.980019,0.382077,0.254131,0.128309,0.077727,0.136691
Buffalo,14,West,0.019981,0.019215,0.007301,0.003539,0.000578,0.000515
Iowa,7,West,0.934519,0.499085,0.274697,0.120707,0.049355,0.005458
Temple,10,West,0.065481,0.024483,0.003818,0.000821,0.000325,0.001155
Villanova,2,West,0.943464,0.456705,0.296354,0.170167,0.145401,0.122341
UNC Asheville,15,West,0.056536,0.019726,0.002852,0.000633,0.000174,0.000735
