Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
Duke,1,West,0.921432,0.49054,0.355304,0.220963,0.174697,0.153367
North Dakota State,16,West,0.078568,0.023765,0.03596,0.005864,0.002568,5.4e-05
VCU,8,West,0.352196,0.15664,0.064087,0.008144,0.005176,1.8e-05
UCF,9,West,0.647804,0.329055,0.031925,0.024117,0.06135,0.008521
Mississippi State,5,West,0.439515,0.423095,0.310475,0.032898,0.002629,0.001439
Liberty,12,West,0.560485,0.192772,0.03201,0.005482,0.002577,0.000567
Virginia Tech,4,West,0.709914,0.369371,0.16482,0.022597,0.003731,0.016484
Saint Louis,13,West,0.290086,0.014763,0.005418,0.00097,0.002022,2.3e-05
Maryland,6,West,0.714022,0.408957,0.063412,0.027359,0.006761,0.000222
Belmont,11,West,0.285978,0.105567,0.086914,0.006381,0.003347,9.4e-05
LSU,3,West,0.913551,0.453104,0.250299,0.068903,0.005201,0.002888
Yale,14,West,0.086449,0.032372,0.103102,0.007807,0.002597,6.9e-05
Louisville,7,West,0.556391,0.323426,0.13485,0.06002,0.00847,0.106354
Minnesota,10,West,0.443609,0.051702,0.031214,0.008494,0.002444,3.8e-05
Michigan State,2,West,0.940907,0.599121,0.311259,0.49144,0.066897,0.00882
Bradley,15,West,0.059093,0.02575,0.01895,0.00856,0.002609,0.000206
Gonzaga,1,East,0.963732,0.604607,0.427495,0.320518,0.253139,0.207401
Fairleigh Dickinson,16,East,0.036268,0.122885,0.081256,0.00574,0.002351,5.6e-05
Syracuse,8,East,0.660675,0.13852,0.186192,0.006446,0.011372,7.3e-05
Baylor,9,East,0.339325,0.133987,0.053279,0.001804,0.001451,0.000113
Marquette,5,East,0.79416,0.264732,0.051269,0.008412,0.008514,0.000117
Murray State,12,East,0.20584,0.085593,0.019108,0.00313,0.002868,3e-06
Florida State,4,East,0.796107,0.62564,0.17114,0.011343,0.007944,0.000164
Vermont,13,East,0.203893,0.024034,0.010262,0.005975,0.003692,0.0
Buffalo,6,East,0.829619,0.10187,0.040348,0.005122,0.011378,4.5e-05
Arizona State,11,East,0.170381,0.259731,0.033749,0.000722,0.00137,2.7e-05
Texas Tech,3,East,0.85244,0.559642,0.355494,0.313036,0.141108,0.002444
Northern Kentucky,14,East,0.14756,0.078756,0.08553,0.028893,0.027088,6e-05
Nevada,7,East,0.651432,0.457684,0.066214,0.007326,0.009363,0.000259
Florida,10,East,0.348568,0.033328,0.035723,0.002245,0.002847,4.9e-05
Michigan,2,East,0.873252,0.503045,0.366365,0.272918,0.160715,0.000347
Montana,15,East,0.126748,0.005943,0.016578,0.00637,0.001723,2.6e-05
North Carolina,1,Midwest,0.969904,0.371428,0.259453,0.065014,0.112015,0.133634
Iona,16,Midwest,0.030096,0.018211,0.013314,0.004369,0.002283,0.00276
Utah State,8,Midwest,0.608213,0.365736,0.104815,0.011961,0.021161,4.7e-05
Washington,9,Midwest,0.391787,0.244625,0.20944,0.099159,0.003702,7.3e-05
Auburn,5,Midwest,0.764738,0.489065,0.1941,0.201943,0.004807,0.01324
New Mexico State,12,Midwest,0.235262,0.045518,0.027663,0.004726,0.00346,0.000895
Kansas,4,Midwest,0.914114,0.453304,0.16041,0.030995,0.006559,0.000221
Northeastern,13,Midwest,0.085886,0.012113,0.030804,0.019628,0.001762,8e-05
Iowa State,6,Midwest,0.525106,0.353232,0.052884,0.024255,0.002156,4.5e-05
Ohio State,11,Midwest,0.474894,0.231462,0.078019,0.010284,0.005037,9.2e-05
Houston,3,Midwest,0.895033,0.391517,0.274881,0.083842,0.083805,0.052818
Georgia State,14,Midwest,0.104967,0.023789,0.002371,0.003132,0.001407,1.8e-05
Wofford,7,Midwest,0.820653,0.427091,0.225272,0.157848,0.020858,0.005133
Seton Hall,10,Midwest,0.179347,0.156244,0.02294,0.005745,0.002484,8.7e-05
Kentucky,2,Midwest,0.889061,0.402295,0.315825,0.274148,0.108386,0.00453
Abilene Christian,15,Midwest,0.110939,0.01437,0.027808,0.002953,0.002595,2e-06
Virginia,1,South,0.964326,0.712091,0.400351,0.28121,0.264747,0.258304
Gardner Webb,16,South,0.035674,0.07773,0.022122,0.005042,0.002386,2.4e-05
Mississippi,8,South,0.287197,0.143723,0.069578,0.007024,0.00686,0.000548
Oklahoma,9,South,0.712803,0.066455,0.108249,0.009636,0.003925,1.5e-05
Wisconsin,5,South,0.731992,0.369841,0.129321,0.021912,0.01109,6.9e-05
Oregon,12,South,0.268008,0.103195,0.065998,0.004746,0.004765,5e-06
Kansas State,4,South,0.699006,0.42605,0.167105,0.068006,0.005193,0.00012
UC Irvine,13,South,0.300994,0.100914,0.037277,0.005657,0.004525,0.000963
Villanova,6,South,0.613762,0.235891,0.048794,0.031743,0.003126,0.000113
Saint Mary's,11,South,0.386238,0.331216,0.152586,0.017919,0.003772,0.001055
Purdue,3,South,0.896657,0.40127,0.255882,0.061046,0.122592,0.00011
Old Dominion,14,South,0.103343,0.031622,0.019859,0.003123,0.002648,1e-06
Cincinnati,7,South,0.659768,0.256712,0.097156,0.151021,0.026069,0.002842
Iowa,10,South,0.340232,0.119191,0.041472,0.002743,0.002609,1.7e-05
Tennessee,2,South,0.790885,0.426891,0.317994,0.304407,0.150751,0.01166
Colgate,15,South,0.209115,0.197206,0.066258,0.024766,0.002464,0.00013
