Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
Villanova,1,West,0.950651,0.364963,0.241725,0.297002,0.084564,0.027417
Mount Saint Mary's,16,West,0.049349,0.009573,0.010084,0.017761,0.001752,0.014657
Wisconsin,8,West,0.590467,0.379724,0.141347,0.044553,0.022806,0.014585
Virginia Tech,9,West,0.409533,0.24574,0.061061,0.025078,0.004834,0.014591
Virginia,5,West,0.782693,0.445505,0.244333,0.019221,0.004692,0.015121
UNC Wilmington,12,West,0.217307,0.028428,0.011598,0.025313,0.001175,0.016045
Florida,4,West,0.795122,0.418723,0.274312,0.052468,0.085634,0.018318
East Tennessee State,13,West,0.204878,0.107344,0.01554,0.015511,0.001637,0.014579
SMU,6,West,0.855496,0.319188,0.155096,0.0321,0.01089,0.014608
USC,11,West,0.144504,0.183463,0.05971,0.019069,0.00419,0.014607
Baylor,3,West,0.779167,0.399577,0.346913,0.166935,0.059232,0.014616
New Mexico State,14,West,0.220833,0.097772,0.015426,0.017141,0.002534,0.014582
South Carolina,7,West,0.465627,0.128772,0.087487,0.033497,0.001859,0.014585
Marquette,10,West,0.534373,0.27784,0.037505,0.018411,0.003716,0.017656
Duke,2,West,0.860715,0.499954,0.270759,0.19796,0.130185,0.015949
Troy,15,West,0.139285,0.093434,0.027105,0.01798,0.00317,0.014579
Gonzaga,1,East,0.821032,0.519466,0.246189,0.300852,0.333391,0.016768
South Dakota State,16,East,0.178968,0.071072,0.075392,0.014432,0.004282,0.014579
Northwestern,8,East,0.641724,0.274187,0.091687,0.021482,0.016243,0.014625
Vanderbilt,9,East,0.358276,0.135275,0.078545,0.018027,0.023234,0.014591
Notre Dame,5,East,0.801461,0.352074,0.152509,0.018774,0.001414,0.014605
Princeton,12,East,0.198539,0.081992,0.08173,0.02161,0.003551,0.014584
West Virginia,4,East,0.829846,0.44829,0.188104,0.087374,0.015227,0.014598
Bucknell,13,East,0.170154,0.117644,0.085845,0.022977,0.004907,0.01458
Maryland,6,East,0.697733,0.24646,0.126224,0.144148,0.014345,0.014581
Xavier,11,East,0.302267,0.319191,0.164244,0.015739,0.00324,0.014582
Florida State,3,East,0.861174,0.290259,0.191865,0.031199,0.007163,0.014586
Florida Gulf Coast,14,East,0.138826,0.14409,0.075977,0.02345,0.003756,0.014587
Saint Mary's,7,East,0.639614,0.445684,0.139722,0.057845,0.137978,0.014623
VCU,10,East,0.360386,0.182056,0.075864,0.030222,0.002302,0.014583
Arizona,2,East,0.786444,0.360822,0.1579,0.175941,0.004059,0.014579
North Dakota,15,East,0.213556,0.011439,0.068205,0.015929,0.002037,0.014584
Kansas,1,South,0.933625,0.463734,0.212366,0.097571,0.17588,0.030799
UC Davis,16,South,0.066375,0.078108,0.071476,0.000949,0.001942,0.014579
Miami FL,8,South,0.58967,0.186157,0.109557,0.002835,0.002099,0.014583
Michigan State,9,South,0.41033,0.272001,0.110847,0.025115,0.002714,0.014581
Iowa State,5,South,0.6354,0.268358,0.092577,0.015029,0.003385,0.014606
Nevada,12,South,0.3646,0.265559,0.07405,0.007222,0.00363,0.014749
Purdue,4,South,0.707739,0.380692,0.253775,0.161207,0.087382,0.014581
Vermont,13,South,0.292261,0.085391,0.075351,0.012226,0.001647,0.01458
Creighton,6,South,0.438575,0.425512,0.172022,0.009649,0.001488,0.014579
Rhode Island,11,South,0.561425,0.102494,0.030205,0.020312,0.002023,0.014582
Oregon,3,South,0.853119,0.39282,0.29459,0.221796,0.013711,0.014618
Iona,14,South,0.146881,0.079174,0.010569,0.001844,0.003643,0.014588
Michigan,7,South,0.65282,0.428752,0.118908,0.253912,0.003962,0.014581
Oklahoma State,10,South,0.34718,0.071693,0.031223,0.002862,0.001469,0.014685
Louisville,2,South,0.884456,0.395433,0.293009,0.162037,0.023535,0.01461
Jacksonville State,15,South,0.115544,0.104121,0.049475,0.005435,0.004979,0.014588
North Carolina,1,Midwest,0.893881,0.520599,0.229614,0.342469,0.231856,0.018613
Texas Southern,16,Midwest,0.106119,0.067725,0.069587,0.02278,0.002651,0.0146
Arkansas,8,Midwest,0.568632,0.252286,0.100086,0.020805,0.003528,0.014668
Seton Hall,9,Midwest,0.431368,0.15939,0.100632,0.023587,0.001228,0.014584
Minnesota,5,Midwest,0.635845,0.20458,0.11311,0.02066,0.077241,0.014632
Middle Tennessee,12,Midwest,0.364155,0.317402,0.089353,0.026755,0.008443,0.014602
Butler,4,Midwest,0.728928,0.268906,0.220752,0.025748,0.011718,0.017045
Winthrop,13,Midwest,0.271072,0.209112,0.076866,0.017629,0.005827,0.014611
Cincinnati,6,Midwest,0.646622,0.359609,0.139573,0.044669,0.068298,0.014612
Kansas State,11,Midwest,0.353378,0.194237,0.15592,0.032895,0.007026,0.01462
UCLA,3,Midwest,0.929012,0.342389,0.187001,0.055818,0.020246,0.017694
Kent State,14,Midwest,0.070988,0.103765,0.078977,0.015179,0.004295,0.014647
Dayton,7,Midwest,0.347829,0.299963,0.088279,0.030773,0.023235,0.014592
Wichita State,10,Midwest,0.652171,0.362532,0.155319,0.027734,0.005952,0.016141
Kentucky,2,Midwest,0.841357,0.331681,0.126053,0.271771,0.188334,0.027717
Northern Kentucky,15,Midwest,0.158643,0.005824,0.068879,0.020728,0.006631,0.014603
